76,PENGUIN,0.25,25
77,OCTOPUS,0.25,25
78,GORILLA,0.25,25
79,SLOTH,0.25,25
80,LION,0.25,25
81,JAGUAR,0.25,25
82,CAMEL,0.25,25
83,SCORPION,0.25,25
84,DOLPHIN,0.25,25
85,CHAMELEON,0.25,25
86,FOX,0.25,25
87,TOUCAN,0.15,50
88,PYTHON,0.15,50
89,CHEETAH,0.15,50
90,ELEPHANT,0.15,50
91,TIGER,0.15,50
92,BEAR,0.15,50
93,CROCODILE,0.15,50
94,PARROT,0.15,50
95,PANDA,0.15,50
96,JELLYFISH,0.15,50
97,RHINO,0.1,100
98,LEOPARD,0.1,100
99,FLAMINGO,0.1,100
100,KANGAROO,0.1,100
101,SCORPION,0.1,100
102,SHARK,0.01,500
103,1990 TOYOTA COROLLA,0.45,10
104,1999 SUBARU OUTBACK,0.45,10
105,2001 FORD ESCAPE,0.45,10
106,2000 HONDA ACCORD,0.45,10
107,1998 JEEP WRANGLER,0.45,10
108,2008 NISSAN ROGUE,0.45,10
109,2001 GMC SIERRA,0.45,10
110,2005 CHEVROLET EQUINOX,0.45,10
111,1994 DODGE RAM ,0.45,10
112,2012 TOYOTA CAMRY,0.45,10
113,2009 HYUNDAI SANTA FE,0.45,10
114,2005 FORD F-150,0.45,10
115,2004 NISSAN ALTIMA,0.45,10
116,2018 FORD FUSION,0.45,10
117,2005 MAZDA MAZDA6,0.45,10
118,2008 VOLKSWAGEN JETTA,0.45,10
119,2014 CHRYSLER 200,0.45,10
120,1996 ACURA INTEGRA,0.45,10
121,2003 VOLVO V70,0.45,10
122,2003 MERCEDES-BENZ,0.45,10
123,1987 PROSCHE 911,0.25,25
124,2022 TESLA MODEL 3,0.25,25
125,2016 MERCEDES-BENZ,0.25,25
126,2017 AUDI S7,0.25,25
127,2013 CADILLAC CTS-V,0.25,25
128,2022 LEXUS IS,0.25,25
129,2022 BMW X7,0.25,25
130,1989 FERRARI 458 SPIDER,0.25,25
131,1950 PONTIAC SILVER STREAK,0.25,25
132,2020 FORD MUSTANG,0.25,25
133,2022 JEEP WRANGLER 4XE,0.25,25
134,1970 CHEVROLET MALIBU,0.25,25
135,1961 CHEVROLET IMPALA,0.25,25
136,2004 LAMBORGHINI G,0.25,25
137,1994 TOYOTA SUPRA,0.25,25
138,BUGATTI VEYRON,0.15,50
139,2017 PAGANI HUAYRA ROADSTER,0.15,50
140,MCLAREN ELVA,0.15,50
141,ASTON MARTIN VALHALLA,0.15,50
142,2009 MAYBACH 62 LANDAULET RWD,0.15,50
143,2015 BRABUS B63,0.15,50
144,2023 KEONIGSEGG GEMERA,0.15,50
145,2008 ROLLS-ROYCE PHANTOM,0.15,50
146,LAMBORGHINI SIAN,0.15,50
147,2017 FERRARI LAFERRARI APERTA,0.15,50
148,ERIC'S 2012 HONDA CIVIC,0.1,100
149,DINO'S 2009 TOYOTA TACOMA,0.1,100
150,GARRETT'S 2009 SATURN AURA,0.1,100
151,TERASENCE'S 2012 FORD ESCAPE,0.1,100
152,KARTHI'S 2019 HYUNDAI SONATA,0.1,100
153,1995 MITSUBISHI MINICAB,0.01,500
154,LEFT LEG,0.45,10
155,RIGHT LEG,0.45,10
156,LEFT FOREARM,0.45,10
157,RIGHT FOREARM,0.45,10
158,LEFT HAND,0.45,10
159,RIGHT HAND,0.45,10
160,NOSE,0.45,10
161,BELLY,0.45,10
162,LEFT FOOT,0.45,10
163,RIGHT FOOT,0.45,10
164,LEFT SHOULDER,0.45,10
165,RIGHT SHOULDER,0.45,10
166,LEFT KNEE,0.45,10
167,RIGHT KNEE,0.45,10
168,WAIST,0.45,10
169,LEFT BICEP,0.45,10
170,RIGHT BICEP,0.45,10
171,LEFT THIGH,0.45,10
172,RIGHT THIGH,0.45,10
173,FOREHEAD,0.45,10
174,LEFT EYE,0.25,25
175,RIGHT EYE,0.25,25
176,TEETH,0.25,25
177,RIBS,0.25,25
178,LEFT EAR,0.25,25
179,RIGHT EAR,0.25,25
180,LEFT FEMUR,0.25,25
181,RIGHT FEMUR,0.25,25
182,LEFT TOE,0.25,25
183,NECK,0.25,25
184,CHEST,0.25,25
185,LEFT ANKLE,0.25,25
186,RIGHT ANKLE,0.25,25
187,LEFT WRIST,0.25,25
188,RIGHT WRIST,0.25,25
189,LEFT LUNG,0.15,50
190,RIGHT LUNG,0.15,50
191,KIDNEY,0.15,50
192,BLADDER,0.15,50
193,SMALL INTESTINE,0.15,50
194,LARGE INTESTINE,0.15,50
195,STOMACH,0.15,50
196,LIVER,0.15,50
197,HEART,0.15,50
198,BRAIN,0.15,50
199,THIRD EYE,0.1,100
200,CROWN,0.1,100
201,THROAT,0.1,100
202,ROOT,0.1,100
203,SACRAL,0.1,100
204,SOUL,0.01,500
205,CHAIR,0.45,10
206,BED,0.45,10
207,COUCH,0.45,10
208,SINK,0.45,10
209,TOILET,0.45,10
210,TRASH BIN,0.45,10
211,COFFEE TABLE,0.45,10
212,BOOKSHELF,0.45,10
213,FAMILY PICTURES,0.45,10
214,MICROWAVE,0.45,10
215,CLOSET,0.45,10
216,DRESSER,0.45,10
217,HOUSE PLANT,0.45,10
218,RUG,0.45,10
219,BOWL,0.45,10
220,PLATE,0.45,10
221,FORK,0.45,10
222,SPOON,0.45,10
223,KNIFE,0.45,10
224,BUCKET,0.45,10
225,TOASTER,0.25,25
226,TOOTHBRUSH,0.25,25
227,REFRIDGERATOR,0.25,25
228,SINK,0.25,25
229,STOVE,0.25,25
230,WINE GLASS,0.25,25
231,FRUIT BOWL,0.25,25
232,TELEVISION,0.25,25
233,POT,0.25,25
234,PAN,0.25,25
235,DISH SOAP,0.25,25
236,TOILET PAPER,0.25,25
237,CANDLE,0.25,25
238,SPONGE,0.25,25
239,COASTER,0.25,25
240,COMPUTER,0.15,50
241,LAMP,0.15,50
242,WASHER,0.15,50
243,DRYER,0.15,50
244,PILLOW,0.15,50
245,BLANKET,0.15,50
246,MUG,0.15,50
247,LADDER,0.15,50
248,COOKIE JAR,0.15,50
249,REMOTE,0.15,50
250,RAZORBLADE,0.1,100
251,KEYS,0.1,100
252,SHOES,0.1,100
253,WALLET,0.1,100
254,WRENCH,0.1,100
255,PLUNGER,0.01,500
